DateTime,Wind Direction,YawPosition,ActivePower (W),WindSpeed (m/s),Hub Height (m),Rotor Diameter (m),Turbines (Clipper),AirDensity (kg/m^3),month,scaled_yaw,2hr_active_power_rolling_avg,Wind Power (W),Turbine Power (W)
1/1/22 6:10,5.607746601,334,556.9201317,6.632480344,80,96,FO614,1.196825006,1,334,,114912.9488,
1/1/22 6:10,5.607746601,698,579.4830526,7.076145837,80,96,FO615,1.196825006,1,338,,122599.8031,
1/1/22 6:10,5.607746601,360,336.0463204,5.625245545,80,96,FO619,1.196825006,1,0,,97461.81211,
1/1/22 6:10,5.607746601,344,303.1358863,5.603313978,80,96,FO621,1.196825006,1,344,,97081.83042,
1/1/22 6:10,5.607746601,293,611.8983373,6.839802232,80,96,FO622,1.196825006,1,293,,118504.9638,
1/1/22 6:10,5.607746601,361,474.8266275,6.269858895,80,96,FO623,1.196825006,1,1,,108630.2464,
1/1/22 6:10,5.607746601,350,352.5153171,5.705941324,80,96,FO624,1.196825006,1,350,,98859.93007,
1/1/22 6:10,5.607746601,174,324.1173737,5.611215361,80,96,FO626,1.196825006,1,174,,97218.72812,
1/1/22 6:10,5.607746601,311,342.6927817,5.81085059,80,96,FO627,1.196825006,1,311,,100677.5658,
1/1/22 6:10,5.607746601,347,356.7389309,5.723331834,80,96,FO628,1.196825006,1,347,,99161.23436,
1/1/22 6:10,5.607746601,355,447.1923197,6.213350702,80,96,FO630,1.196825006,1,355,,107651.1974,
1/1/22 6:10,5.607746601,337,424.4334283,6.125978819,80,96,FO631,1.196825006,1,337,,106137.4107,
1/1/22 6:10,5.607746601,358,438.1029059,6.35111407,80,96,FO632,1.196825006,1,358,,110038.0563,
1/1/22 6:10,5.607746601,354,471.5588496,6.386388479,80,96,FO634,1.196825006,1,354,,110649.2133,
1/1/22 6:10,5.607746601,352,301.4632112,5.51843732,80,96,FO635,1.196825006,1,352,,95611.27544,
1/1/22 6:10,5.607746601,352,211.8518643,4.74471982,80,96,FO636,1.196825006,1,352,,82206.01001,
1/1/22 6:10,5.607746601,370,183.3167504,4.546294565,80,96,FO637,1.196825006,1,10,,78768.13609,
1/1/22 6:10,5.607746601,360,462.2501286,6.23575058,80,96,FO638,1.196825006,1,0,,108039.2929,
1/1/22 6:10,5.607746601,343,316.9453515,5.611851563,80,96,FO639,1.196825006,1,343,,97229.75082,
1/1/22 6:10,5.607746601,370,378.4602684,5.922863899,80,96,FO640,1.196825006,1,10,,102618.2846,
1/1/22 6:10,5.607746601,350,473.0233981,6.267798886,80,96,FO641,1.196825006,1,350,,108594.5551,
1/1/22 6:10,5.607746601,350,417.0349108,6.133732642,80,96,FO642,1.196825006,1,350,,106271.7518,
1/1/22 6:10,5.607746601,343,398.5031586,5.995298596,80,96,FO643,1.196825006,1,343,,103873.2728,
1/1/22 6:20,194.3327332,711,766.405924,7.428892012,80,96,FO601,1.197000027,1,351,,128730.231,
1/1/22 6:20,194.3327332,844,717.1762264,7.064271773,80,96,FO602,1.197000027,1,124,,122411.9742,
1/1/22 6:20,194.3327332,527,510.7876025,6.702105649,80,96,FO603,1.197000027,1,167,,116136.2431,
1/1/22 6:20,194.3327332,716,579.2624365,6.605757644,80,96,FO604,1.197000027,1,356,,114466.6938,
1/1/22 6:20,194.3327332,797,599.6407726,6.841750243,80,96,FO605,1.197000027,1,77,,118556.0495,
1/1/22 6:20,194.3327332,349,573.6434445,6.876524627,80,96,FO607,1.197000027,1,349,,119158.6312,
1/1/22 6:20,194.3327332,784,630.5426038,6.711636731,80,96,FO608,1.197000027,1,64,,116301.4007,
1/1/22 6:20,194.3327332,194,616.5289936,6.950858337,80,96,FO609,1.197000027,1,194,,120446.7097,
1/1/22 6:20,194.3327332,726,574.1847079,6.5948073,80,96,FO610,1.197000027,1,6,,114276.9428,
1/1/22 6:20,194.3327332,193,570.5486687,6.61074093,80,96,FO611,1.197000027,1,193,,114553.0458,
1/1/22 6:20,194.3327332,718,716.2518665,7.472542003,80,96,FO612,1.197000027,1,358,,129486.6121,
1/1/22 6:20,194.3327332,189,620.1793336,6.722891333,80,96,FO613,1.197000027,1,189,,116496.4241,
1/1/22 6:20,194.3327332,343,778.5647934,7.402036905,80,96,FO614,1.197000027,1,343,,128264.8771,
1/1/22 6:20,194.3327332,713,825.9464372,7.6874509,80,96,FO615,1.197000027,1,353,,133210.6226,
1/1/22 6:20,194.3327332,262,0.093737954,6.680025023,80,96,FO616,1.197000027,1,262,,115753.6229,
1/1/22 6:20,194.3327332,371,498.4513069,6.148200058,80,96,FO619,1.197000027,1,11,,106537.9888,
1/1/22 6:20,194.3327332,356,725.8070322,7.183648319,80,96,FO621,1.197000027,1,356,,124480.5694,
1/1/22 6:20,194.3327332,298,735.8016751,6.983463119,80,96,FO622,1.197000027,1,298,,121011.6958,
1/1/22 6:20,194.3327332,366,868.2656387,7.819249104,80,96,FO623,1.197000027,1,6,,135494.4643,
1/1/22 6:20,194.3327332,362,624.9761303,6.379480287,80,96,FO624,1.197000027,1,2,,110545.687,
1/1/22 6:20,194.3327332,182,557.0147638,6.838026896,80,96,FO626,1.197000027,1,182,,118491.5302,
1/1/22 6:20,194.3327332,324,613.1353283,6.942168196,80,96,FO627,1.197000027,1,324,,120296.1241,
1/1/22 6:20,194.3327332,360,600.3554967,6.684040025,80,96,FO628,1.197000027,1,0,,115823.1961,
1/1/22 6:20,194.3327332,362,727.4709699,7.333244863,80,96,FO630,1.197000027,1,2,,127072.8264,
1/1/22 6:20,194.3327332,345,662.0870524,7.380022054,80,96,FO631,1.197000027,1,345,,127883.3966,
1/1/22 6:20,194.3327332,362,434.3428208,6.014703251,80,96,FO632,1.197000027,1,2,,104224.7131,
1/1/22 6:20,194.3327332,359,657.7570432,6.998866216,80,96,FO634,1.197000027,1,359,,121278.6056,
